id_transaccion,indice_split,split,monto_final,es_anomalia,tipo_anomalia,split_sugerido,reconstruction_error,severidad,prediccion_anomalia
TRX-000001,0,validacion,20.51,0,normal,validacion,0.047996566,normal,0
TRX-000003,0,prueba,3.43,0,normal,prueba,0.046619754,normal,0
TRX-000006,1,validacion,2.92,0,normal,validacion,0.04920752,normal,0
TRX-000013,2,validacion,3.46,0,normal,validacion,0.044757843,normal,0
TRX-000014,1,prueba,3.05,0,normal,prueba,0.05614418,normal,0
TRX-000017,3,validacion,10.89,0,normal,validacion,0.041675776,normal,0
TRX-000020,4,validacion,13.07,0,normal,validacion,0.044373676,normal,0
TRX-000022,5,validacion,2.35,1,descuento_fuera_politica,validacion,0.10592183,media,1
TRX-000026,6,validacion,121.25,1,monto_extremo,validacion,0.47052687,alta,1
TRX-000029,2,prueba,25.69,1,venta_fuera_horario,prueba,0.09723593,media,1
TRX-000030,3,prueba,12.85,0,normal,prueba,0.06949677,baja,1
TRX-000033,4,prueba,247.57,1,monto_extremo,prueba,1.5772394,alta,1
TRX-000037,7,validacion,-12.0,1,monto_inconsistente,validacion,0.11914595,alta,1
TRX-000038,5,prueba,9.78,1,venta_fuera_horario,prueba,0.07884825,baja,1
TRX-000040,6,prueba,3.89,0,normal,prueba,0.037996605,normal,0
TRX-000042,8,validacion,3.29,0,normal,validacion,0.05176909,normal,0
TRX-000045,7,prueba,13.7,0,normal,prueba,0.047387525,normal,0
TRX-000046,8,prueba,11.08,1,venta_fuera_horario,prueba,0.11678105,alta,1
TRX-000047,9,prueba,2.3,0,normal,prueba,0.04397123,normal,0
TRX-000048,10,prueba,10.32,0,normal,prueba,0.05044169,normal,0
TRX-000050,9,validacion,-5.0,1,monto_inconsistente,validacion,0.11457326,alta,1
TRX-000057,11,prueba,74.33,1,empleado_anulaciones_altas,prueba,0.42274764,alta,1
TRX-000058,12,prueba,3.52,1,venta_fuera_horario,prueba,0.12141371,alta,1
TRX-000059,10,validacion,10.71,1,descuento_fuera_politica,validacion,0.11434033,alta,1
TRX-000060,13,prueba,4.15,0,normal,prueba,0.050009876,normal,0
TRX-000061,14,prueba,21.31,0,normal,prueba,0.05305594,normal,0
TRX-000062,11,validacion,4.66,0,normal,validacion,0.04659231,normal,0
TRX-000064,15,prueba,277.25,1,monto_extremo,prueba,1.5478888,alta,1
TRX-000065,12,validacion,2.57,1,efectivo_descuento_alto,validacion,0.054367784,normal,0
TRX-000066,13,validacion,10.87,0,normal,validacion,0.07397284,baja,1
TRX-000067,16,prueba,6.84,0,normal,prueba,0.041250654,normal,0
TRX-000068,17,prueba,0.87,0,normal,prueba,0.08194325,baja,1
TRX-000070,14,validacion,1.12,0,normal,validacion,0.048227735,normal,0
TRX-000071,15,validacion,1.32,0,normal,validacion,0.050597373,normal,0
TRX-000074,18,prueba,-25.0,1,monto_inconsistente,prueba,0.2881445,alta,1
TRX-000077,19,prueba,221.92,1,monto_extremo,prueba,1.2847738,alta,1
TRX-000080,20,prueba,4.02,0,normal,prueba,0.041648928,normal,0
TRX-000081,16,validacion,429.53,1,monto_extremo,validacion,3.706307,alta,1
TRX-000082,17,validacion,8.67,1,descuento_fuera_politica,validacion,0.08396757,media,1
TRX-000083,21,prueba,144.58,1,monto_extremo,prueba,0.72619766,alta,1
TRX-000084,18,validacion,28.76,0,normal,validacion,0.04533259,normal,0
TRX-000085,22,prueba,22.9,0,normal,prueba,0.04760869,normal,0
TRX-000088,19,validacion,5.37,0,normal,validacion,0.04754706,normal,0
TRX-000089,20,validacion,-12.0,1,monto_inconsistente,validacion,0.107064515,alta,1
TRX-000091,23,prueba,10.28,1,venta_fuera_horario,prueba,0.07273988,baja,1
TRX-000093,24,prueba,3.9,0,normal,prueba,0.053604923,normal,0
TRX-000094,21,validacion,3.25,0,normal,validacion,0.05365987,normal,0
TRX-000095,25,prueba,4.42,1,descuento_fuera_politica,prueba,0.3862102,alta,1
TRX-000100,26,prueba,156.74,1,monto_extremo,prueba,0.7379154,alta,1
TRX-000101,22,validacion,7.39,0,normal,validacion,0.044997912,normal,0
TRX-000104,27,prueba,21.56,0,normal,prueba,0.05389501,normal,0
TRX-000105,28,prueba,530.68,1,monto_extremo,prueba,6.282766,alta,1
TRX-000106,23,validacion,213.64,1,devolucion_monto_alto,validacion,0.97573215,alta,1
TRX-000109,29,prueba,13.0,1,descuento_fuera_politica,prueba,0.1704496,alta,1
TRX-000111,24,validacion,4.95,0,normal,validacion,0.055776834,normal,0
TRX-000112,25,validacion,9.87,1,descuento_fuera_politica,validacion,0.19352384,alta,1
TRX-000114,26,validacion,3.04,0,normal,validacion,0.04573985,normal,0
TRX-000115,30,prueba,13.64,0,normal,prueba,0.05138905,normal,0
TRX-000116,31,prueba,3.85,0,normal,prueba,0.050880384,normal,0
TRX-000117,32,prueba,23.88,0,normal,prueba,0.046645213,normal,0
TRX-000119,33,prueba,-25.0,1,monto_inconsistente,prueba,0.19196504,alta,1
TRX-000131,34,prueba,0.0,1,monto_inconsistente,prueba,0.050627295,normal,0
TRX-000133,35,prueba,26.6,0,normal,prueba,0.041728154,normal,0
TRX-000135,27,validacion,41.78,1,empleado_anulaciones_altas,validacion,0.07492568,baja,1
TRX-000137,36,prueba,3.96,0,normal,prueba,0.1094037,alta,1
TRX-000150,37,prueba,0.0,1,monto_inconsistente,prueba,0.048232444,normal,0
TRX-000152,38,prueba,2.49,0,normal,prueba,0.047998082,normal,0
TRX-000153,28,validacion,7.05,0,normal,validacion,0.045295473,normal,0
TRX-000157,39,prueba,3.27,0,normal,prueba,0.057401434,normal,0
TRX-000160,40,prueba,67.99,1,empleado_anulaciones_altas,prueba,0.32337457,alta,1
TRX-000161,29,validacion,7.21,0,normal,validacion,0.039863404,normal,0
TRX-000164,41,prueba,25.95,1,efectivo_descuento_alto,prueba,0.08338383,media,1
TRX-000165,42,prueba,400.89,1,monto_extremo,prueba,3.1204908,alta,1
TRX-000167,30,validacion,13.26,0,normal,validacion,0.070613444,baja,1
TRX-000170,43,prueba,199.86,1,monto_extremo,prueba,1.0175692,alta,1
TRX-000172,31,validacion,11.5,0,normal,validacion,0.039171297,normal,0
TRX-000174,44,prueba,231.8,1,devolucion_monto_alto,prueba,1.3020418,alta,1
TRX-000177,45,prueba,7.02,0,normal,prueba,0.049987096,normal,0
TRX-000178,46,prueba,18.57,0,normal,prueba,0.04765977,normal,0
TRX-000179,32,validacion,4.57,0,normal,validacion,0.048019648,normal,0
TRX-000180,33,validacion,1.73,0,normal,validacion,0.04773915,normal,0
TRX-000184,34,validacion,256.98,1,monto_extremo,validacion,1.7798351,alta,1
TRX-000186,47,prueba,6.69,0,normal,prueba,0.049467165,normal,0
TRX-000187,48,prueba,15.81,0,normal,prueba,0.052917108,normal,0
TRX-000191,35,validacion,2.21,0,normal,validacion,0.04790934,normal,0
TRX-000193,36,validacion,18.29,0,normal,validacion,0.048342325,normal,0
TRX-000195,49,prueba,7.64,1,venta_fuera_horario,prueba,0.08410955,media,1
TRX-000196,50,prueba,11.29,0,normal,prueba,0.04946692,normal,0
TRX-000197,51,prueba,11.87,0,normal,prueba,0.043738797,normal,0
TRX-000198,37,validacion,30.75,0,normal,validacion,0.049117908,normal,0
TRX-000206,52,prueba,-5.0,1,monto_inconsistente,prueba,0.11107447,alta,1
TRX-000207,38,validacion,39.85,0,normal,validacion,0.049443174,normal,0
TRX-000209,39,validacion,9.23,0,normal,validacion,0.055104833,normal,0
